,created_on,property_type,lat,lon,price usd,b_id,c_b_id
5289,7/19/2017,apartment,-34.5962958,-58.4270882,74047.0,6.0,0
5290,5/25/2017,apartment,-34.59767076,-58.42555362,91560.0,6.0,12
5291,5/25/2017,apartment,-34.59777674,-58.42559653,96600.0,6.0,12
5292,7/19/2017,apartment,-34.5962958,-58.4270882,387651.0,6.0,0
5293,7/19/2017,store,-34.59724766,-58.42464607,360000.0,6.0,0
5294,10/17/2017,store,-34.5970811,-58.4248363,360000.0,6.0,0
5295,9/16/2017,house,-34.597860499999996,-58.4261015,392000.0,6.0,12
5296,10/5/2017,apartment,-34.596767,-58.425867000000004,90000.0,6.0,0
5297,7/21/2017,apartment,-34.597841100000004,-58.4249554,155000.0,6.0,12
5298,7/19/2017,apartment,-34.5962958,-58.4270882,442339.0,6.0,0
5299,7/19/2017,apartment,-34.597839799999996,-58.4249739,92000.0,6.0,0
5300,7/4/2017,apartment,-34.5978478,-58.4256548,170000.0,6.0,36
5301,7/19/2017,apartment,-34.5962958,-58.4270882,161302.0,6.0,0
5302,10/22/2017,apartment,-34.5978571,-58.425982499999996,107000.0,6.0,12
5303,10/6/2017,apartment,-34.5962958,-58.4270882,39100.0,6.0,0
5304,7/10/2017,apartment,-34.5966325,-58.4263915,75000.0,6.0,0
5305,5/25/2017,apartment,-34.59767076,-58.42555362,90300.0,6.0,12
5306,10/30/2017,apartment,-34.5978536,-58.4258601,155000.0,6.0,12
5307,12/9/2017,apartment,-34.597235999999995,-58.424778,110000.0,6.0,12
5308,11/8/2017,store,-34.5962958,-58.4270882,215000.0,6.0,0
5309,12/5/2017,apartment,-34.597860700000005,-58.426034400000006,210760.0,6.0,12
5310,5/10/2017,apartment,-34.5937974,-58.4447924,185000.0,6.0,26
5311,5/10/2017,PH,-34.5937974,-58.4447924,185000.0,6.0,26
5312,7/19/2017,apartment,-34.59347105,-58.44444571,117000.0,6.0,26
5313,10/27/2017,apartment,-34.593667100000005,-58.4452762,92000.0,6.0,26
5314,12/6/2017,apartment,-34.593667100000005,-58.4452762,92000.0,6.0,26
5315,11/22/2014,apartment,-34.595519,-58.42809499999999,70000.0,6.0,0
5316,2/21/2015,apartment,-34.59596644,-58.43043401,135000.0,6.0,0
5317,8/30/2016,apartment,-34.595428399999996,-58.428313100000004,146000.0,6.0,0
5318,7/20/2016,store,-34.5955122,-58.4281833,360000.0,6.0,0
5319,8/17/2016,apartment,-34.59507668,-58.42941695,75900.0,6.0,0
5320,11/18/2016,apartment,-34.5955315,-58.4281534,110000.0,6.0,0
5321,11/18/2016,apartment,-34.5955315,-58.4281534,98513.0,6.0,0
5322,3/19/2017,apartment,-34.596576,-58.4297843,110000.0,6.0,0
5323,11/18/2016,apartment,-34.5955315,-58.4281534,93000.0,6.0,0
5324,11/18/2016,apartment,-34.595515999999996,-58.428177399999996,91640.0,6.0,0
5325,11/26/2016,apartment,-34.5955315,-58.4281534,91640.0,6.0,0
5326,5/19/2017,store,-34.5955037,-58.4284039,399000.0,6.0,0
5327,6/5/2017,store,-34.5955037,-58.4284039,690000.0,6.0,0
5328,6/5/2017,apartment,-34.5960263,-58.4291015,229000.0,6.0,0
5329,7/6/2017,store,-34.59557435,-58.42818932,870000.0,6.0,0
5330,7/12/2017,store,-34.5955037,-58.4284039,690000.0,6.0,0
5331,1/19/2018,apartment,-34.5955037,-58.4284039,180000.0,6.0,0
5332,1/19/2018,store,-34.5955855,-58.4283647,710000.0,6.0,0
5333,2/26/2016,store,-34.602111,-58.455259999999996,195000.0,6.0,27
5334,5/27/2016,house,-34.601470299999995,-58.455202,220000.0,6.0,27
5335,11/18/2016,house,-34.600433,-58.455055,269000.0,6.0,27
5336,11/29/2016,house,-34.60221899,-58.45542902,190000.0,6.0,27
5337,6/12/2017,apartment,-34.6023963,-58.4556832,84000.0,6.0,27
5338,9/1/2017,house,-34.599455299999995,-58.455905,190000.0,6.0,27
5339,1/9/2018,house,-34.5987375,-58.4565819,220000.0,6.0,27
5340,1/9/2018,apartment,-34.60028076,-58.45555496,89000.0,6.0,27
5341,6/25/2015,apartment,-34.5973505,-58.4512796,730000.0,6.0,0
5342,11/9/2017,apartment,-34.59788153,-58.45174999,165000.0,6.0,27
5343,11/9/2017,apartment,-34.59788153,-58.45174999,165000.0,6.0,26
5344,12/29/2016,apartment,-34.6011621,-58.435349800000004,179500.0,6.0,12
5345,12/31/2016,apartment,-34.6011621,-58.435349800000004,179500.0,6.0,12
5346,12/31/2016,apartment,-34.6011621,-58.435349800000004,179500.0,6.0,12
5347,12/29/2016,apartment,-34.6011621,-58.435349800000004,179500.0,6.0,12
5348,4/24/2015,store,-34.6052344,-58.4506325,90000.0,6.0,11
5349,1/13/2017,apartment,-34.6061438,-58.4520833,158000.0,6.0,27
5350,7/29/2017,PH,-34.604898799999994,-58.45248960000001,410000.0,6.0,11
5351,6/5/2017,store,-34.605191,-58.450702,80000.0,6.0,11
5352,6/20/2017,apartment,-34.60590871,-58.45279679,168000.0,6.0,11
5353,12/5/2017,apartment,-34.60577573,-58.45235382,190944.0,6.0,11
5354,10/5/2017,house,-34.604898799999994,-58.45248960000001,410000.0,6.0,11
5355,8/31/2017,PH,-34.604898799999994,-58.45248960000001,410000.0,6.0,11
5356,12/5/2017,apartment,-34.60570509,-58.45233236,194300.0,6.0,11
5357,12/5/2017,apartment,-34.60577573,-58.45235382,126750.0,6.0,11
5358,12/5/2017,apartment,-34.60577573,-58.45235382,134394.0,6.0,11
5359,12/5/2017,apartment,-34.60577573,-58.45235382,183900.0,6.0,11
5360,12/5/2017,apartment,-34.60570509,-58.45233236,209196.0,6.0,11
5361,12/5/2017,apartment,-34.60591703,-58.45243965,84760.0,6.0,11
5362,12/5/2017,apartment,-34.60577573,-58.45235382,129506.0,6.0,11
5363,12/5/2017,apartment,-34.60577573,-58.45235382,261170.0,6.0,11
5364,6/24/2016,apartment,-34.601137200000004,-58.4340934,125000.0,6.0,12
5365,4/5/2017,apartment,-34.6003533,-58.4334233,97000.0,6.0,12
5366,5/30/2017,apartment,-34.6005594,-58.433750399999994,125000.0,6.0,12
5367,5/30/2017,apartment,-34.6005594,-58.433750399999994,125000.0,6.0,12
5368,4/5/2017,apartment,-34.6003533,-58.4334233,97000.0,6.0,12
5369,12/4/2016,apartment,-34.6004403,-58.4330797,59000.0,6.0,0
5370,4/8/2017,apartment,-34.600761600000006,-58.4327659,133000.0,6.0,0
